id,days,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen,total_calls,total_sms,final_mood
AS14.01,day 5 to 10,,,,,,,,-0.5,0.5,6.0,,1.0,2.0,7.0
AS14.01,day 27 to 32,0.00833333333333333,3.0410000000000004,27.6845,22.787,13.6375,65.335,14.067,-0.5,0.0,6.0,31.7479999065399,,,7.0
AS14.01,day 28 to 33,0.144067796610169,3.904,24.647,21.236,10.111,42.241,19.695999999999998,1.0,1.0,7.0,27.8129999637604,6.0,,7.0
AS14.01,day 29 to 34,0.218487394957983,4.019,20.458,46.662,12.054,40.275,,0.0,1.0,7.0,17.9749999046326,3.0,1.0,6.0
AS14.01,day 30 to 35,0.055644866642309096,3.1085,19.808,21.5865,9.027999999999999,44.157,,1.0,0.0,6.0,25.9850000143051,,,6.0
AS14.01,day 31 to 36,0.03494049435459265,3.052,25.346,6.041,9.0505,33.4435,9.045,0.5,0.0,6.0,24.1399998664856,10.0,1.0,7.0
AS14.01,day 32 to 37,0.025105042016806703,3.017,27.484,72.771,25.505499999999998,48.701,,0.0,1.0,7.0,33.6340000629425,,,7.0
AS14.01,day 33 to 38,0.0416666666666667,4.007,21.59,50.86449999999999,10.1285,34.437,,1.0,1.0,7.0,30.2420001029968,,1.0,7.0
AS14.01,day 34 to 39,0.0,4.016,24.5475,55.361000000000004,10.164,26.111,36.191,-0.5,1.0,7.0,26.6070001125336,3.0,,8.0
AS14.01,day 35 to 40,0.03870751840559235,4.036,19.274,58.240500000000004,21.7385,11.466,20.253,-1.0,1.0,8.0,17.671000123024,4.0,,8.0
AS14.01,day 36 to 41,0.0885683760683761,4.012499999999999,25.75,53.495,11.198,28.061,8.026,0.0,1.0,8.0,28.776999950408896,4.0,1.0,7.0
AS14.01,day 37 to 42,0.0,5.0920000000000005,25.108,180.481,14.047,76.3525,41.176,-1.0,1.0,7.0,15.6170001029968,5.0,,7.0
AS14.01,day 38 to 43,0.0252812989602621,4.013999999999999,23.1235,20.666,11.1395,29.1805,37.844,1.0,1.0,7.0,24.4770001173019,1.0,,5.5
AS14.01,day 39 to 44,0.0487155388471178,3.0095,16.0335,16.9255,8.106,15.751000000000001,174.7535,0.0,-0.5,5.5,21.8699998855591,1.0,,7.0
AS14.01,day 40 to 45,0.0416666666666667,3.6180000000000003,28.265,24.3005,9.672,42.1455,,-1.0,1.0,7.0,32.2480001449585,4.0,,6.0
AS14.01,day 41 to 46,0.00833333333333333,3.0185,20.083,16.691,8.021,22.1695,19.082,-1.0,0.0,6.0,16.231999874115,4.0,,6.0
AS14.01,day 42 to 47,0.03390073978309275,3.012,20.653,93.9975,14.120999999999999,32.336,7.028,0.0,0.5,6.0,17.2760000228882,2.0,1.0,7.0
AS14.01,day 43 to 48,0.0627801120448179,3.009,18.112499999999997,,8.209,28.119,28.100499999999997,0.0,1.0,7.0,15.432999968528751,3.0,,6.0
AS14.01,day 44 to 49,0.008510792409097495,5.018,22.3525,93.607,10.187999999999999,36.2585,,-1.0,0.0,6.0,18.453999876976,1.0,,7.0
AS14.01,day 45 to 50,0.02948717948717945,3.483,20.89,74.273,11.2655,28.691,60.247,0.0,1.0,7.0,19.1840000152588,1.0,,7.0
AS14.01,day 46 to 51,0.021008403361344498,3.2684999999999995,20.875,42.393,10.03,18.4785,,-1.0,0.0,7.0,22.39550006389615,1.0,,7.0
AS14.01,day 47 to 52,0.05,3.0975,24.103,114.617,9.1085,21.057,,-1.0,1.0,7.0,30.909000039100647,4.0,,8.0
AS14.01,day 48 to 53,0.004166666666666665,5.0855,22.103,26.116999999999997,6.5655,16.0445,,-1.0,1.0,8.0,21.3439998626709,7.0,,7.0
AS14.01,day 49 to 54,0.0222204266321913,3.0105,12.136,29.9045,8.064499999999999,40.155,34.234,-1.0,1.0,7.0,20.4909999370575,,,8.0
AS14.01,day 50 to 55,0.00826446280991735,3.977,29.16,89.26299999999999,8.607000000000001,46.0,5.031000000000001,-1.0,1.0,8.0,17.4965001344681,,,8.0
AS14.01,day 51 to 56,0.0,3.0165,30.233,144.928,7.136,28.232000000000003,,-1.5,1.0,8.0,11.8839998245239,,,7.0
AS14.01,day 52 to 57,0.0591954022988506,3.903,23.174,59.168499999999995,9.0355,38.097,14.552000000000001,-0.5,1.0,7.0,26.046999931335396,1.0,1.0,7.0
AS14.01,day 53 to 58,0.0903225806451613,3.0269999999999997,22.654,31.1275,7.153,41.256,8.363,0.0,1.0,7.0,28.177999973297098,8.0,2.0,7.0
AS14.01,day 54 to 59,0.0418417366946779,3.069,19.314,16.079,8.023,41.12,,1.0,0.5,7.0,24.8659999370575,,,7.0
AS14.01,day 55 to 60,0.029133967636641403,3.014,32.05,38.229,9.1175,27.736,,-1.0,1.0,7.0,29.0239999294281,2.0,,7.0
AS14.01,day 56 to 61,0.0,4.01,29.388,27.511000000000003,7.02,8.5465,16.051,0.0,1.0,7.0,22.3329999446869,1.0,,8.0
AS14.01,day 57 to 62,0.0909090909090909,3.062,34.694,99.4785,6.0245,42.826,64.445,0.0,1.0,8.0,39.2575000524521,3.0,2.0,7.0
AS14.01,day 58 to 63,0.013353350189633396,4.013,30.997500000000002,44.13,7.023,22.9175,,-0.5,1.0,7.0,25.714500069618246,,,7.5
