id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen
AS14.01,2014-02-17,,,,,,,,,,,
AS14.01,2014-02-18,,,,,,,,,,,
AS14.01,2014-02-19,,,,,,,,,,,
AS14.01,2014-02-20,,,,,,,,,,,
AS14.01,2014-02-21,,,,,,,,,,,
AS14.01,2014-02-22,,,,,,,,,,,
AS14.01,2014-02-23,,,,,,,,,,,
AS14.01,2014-02-24,,,,,,,,,,,
AS14.01,2014-02-25,,,,,,,,,,,
AS14.01,2014-02-26,,,,,,,,-0.5,1.0,6.0,
AS14.01,2014-02-27,,,,,,,,1.0,0.0,6.0,
AS14.01,2014-02-28,,,,,,,,,,,
AS14.01,2014-03-01,,,,,,,,,,,
AS14.01,2014-03-02,,,,,,,,,,,
AS14.01,2014-03-03,,,,,,,,,,,
AS14.01,2014-03-04,,,,,,,,,,,
AS14.01,2014-03-05,,,,,,,,,,,
AS14.01,2014-03-06,,,,,,,,,,,
AS14.01,2014-03-07,,,,,,,,,,,
AS14.01,2014-03-08,,,,,,,,,,,
AS14.01,2014-03-09,,,,,,,,,,,
AS14.01,2014-03-10,,,,,,,,,,,
AS14.01,2014-03-11,,,,,,,,,,,
AS14.01,2014-03-12,,,,,,,,,,,
AS14.01,2014-03-13,,,,,,,,,,,
AS14.01,2014-03-14,,,,,,,,,,,
AS14.01,2014-03-15,,,,,,,,,,,
AS14.01,2014-03-16,,,,,,,,,,,
AS14.01,2014-03-17,,,,,,,,,,,
AS14.01,2014-03-18,,,,,,,,,,,
AS14.01,2014-03-19,,,,,,,,,,,
AS14.01,2014-03-20,0.08154761904761905,2.0875,22.064,44.808499999999995,5.6725,58.871,,,,,58.845999956131
AS14.01,2014-03-21,0.0327868852459016,4.019,27.7435,17.061,13.6375,52.675,19.07,0.0,0.0,6.0,32.282000064849896
AS14.01,2014-03-22,0.260593220338983,3.8885,20.458,46.662,10.116,23.872999999999998,37.305,1.0,1.0,7.0,17.2519998550415
AS14.01,2014-03-23,0.139130434782609,3.6045000000000003,21.577,43.178000000000004,8.5305,38.180499999999995,,0.0,1.0,7.0,20.311000108718897
AS14.01,2014-03-24,0.0419491525423729,3.04,20.404,12.0435,11.5625,35.238,9.045,1.0,0.0,6.0,24.966500043868997
AS14.01,2014-03-25,0.03494049435459265,3.025,31.2785,34.103,9.2345,40.8895,,1.0,0.5,6.5,36.6489999294281
AS14.01,2014-03-26,0.043867924528301905,3.0225,22.121,120.37299999999999,13.1155,38.945,,0.0,1.0,7.0,27.098500132560698
AS14.01,2014-03-27,0.02923669467787115,4.016,23.4065,55.361000000000004,8.132,26.111,23.657,1.0,1.0,7.0,29.8970000743866
AS14.01,2014-03-28,0.021008403361344498,4.0595,18.686,52.25,31.2385,11.582999999999998,24.378,-1.0,1.0,6.0,21.8824999332428
AS14.01,2014-03-29,0.03870751840559235,4.022,25.75,36.353,12.360999999999999,34.701,8.026,0.0,1.0,8.0,26.19199991226195
AS14.01,2014-03-30,0.0,4.0169999999999995,25.108,116.573,9.594999999999999,28.061,,-0.5,1.0,7.5,24.143999814987197
AS14.01,2014-03-31,0.012296747967479666,4.029,20.255,20.2095,17.768,40.7645,34.318000000000005,0.0,1.0,7.0,21.233500003814697
AS14.01,2014-04-01,0.03873654725047915,3.015,21.319499999999998,16.9255,8.533999999999999,18.413,67.12,0.0,0.0,6.0,25.23400008678435
AS14.01,2014-04-02,0.0632744623273038,3.801,21.375999999999998,25.37,8.086,26.065,,1.0,1.0,6.5,25.493499994277954
